# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=True, normalized=False
1.045693347275539864e+01 1.099345841936933311e+03 5.371319766702199558e+02 1.406785816352670281e+03 1.008801942871023538e+00 2.721301597011490685e+02 4.122437106377061511e-01 1.045355452999126855e-01
1.157513104517680080e+00 7.195755352918524750e+02 2.895231789906573567e+02 3.633524423717131526e+02 1.262893976923696593e-01 3.799957765746120231e+02 1.407723833546667969e-01 4.577350496860229517e-02
1.001001001001001089e+00 7.740596288478422959e-01 1.811773992996541238e-01 7.941912092420646552e-01 3.032272435550543710e-01 5.836747092770924183e-01 3.116362412670090759e-02 -2.763954522318764085e-03
7.740596288478422959e-01 1.001001001001001312e+00 1.263051919153345380e-02 7.318552331650910459e-01 4.548362676530525728e-01 6.969601308388108096e-01 2.833603125743074103e-02 7.771139296626451524e-03
1.811773992996541238e-01 1.263051919153345380e-02 1.001001001001001312e+00 3.378996971579003583e-01 -3.383556981570068345e-01 -3.675367297761528151e-01 7.916906023963038441e-02 4.546910464160577869e-02
7.941912092420646552e-01 7.318552331650910459e-01 3.378996971579003583e-01 1.001001001001001089e+00 2.557079071387750036e-01 5.204405658961334113e-01 7.355580013499608827e-02 6.186213521785020181e-02
3.032272435550543710e-01 4.548362676530525728e-01 -3.383556981570068345e-01 2.557079071387750036e-01 1.001001001001001312e+00 7.126256866116507105e-01 -3.226684463476030273e-02 -3.304817848271528191e-02
5.836747092770924183e-01 6.969601308388108096e-01 -3.675367297761528151e-01 5.204405658961334113e-01 7.126256866116507105e-01 1.001001001001001089e+00 -1.293436433619815813e-02 -3.114695792227977281e-02
3.116362412670090759e-02 2.833603125743074103e-02 7.916906023963038441e-02 7.355580013499608827e-02 -3.226684463476030273e-02 -1.293436433619815813e-02 1.001001001001001089e+00 3.376076435395816699e-02
-2.763954522318764085e-03 7.771139296626451524e-03 4.546910464160577869e-02 6.186213521785020181e-02 -3.304817848271528191e-02 -3.114695792227977281e-02 3.376076435395816699e-02 1.001001001001000867e+00
