# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=True, normalized=False
1.048463536483895631e+01 1.127265323537641052e+03 5.278167257674475650e+02 1.416934381698919424e+03 1.010085894750972324e+00 2.814010200397063386e+02 4.102336595381476103e-01 1.044325149864926555e-01
1.187192919253952761e+00 7.114225135369676991e+02 2.829417927731441864e+02 3.630366124148552558e+02 1.298967019488356522e-01 3.861393401443643256e+02 1.385265799446560031e-01 4.494035817653178194e-02
1.000010000100001406e+00 7.941936509424329937e-01 1.854241812320642224e-01 8.031679919023639869e-01 3.086107660681656206e-01 6.048348446394182787e-01 -2.679926233184918433e-02 2.703692883513640621e-02
7.941936509424329937e-01 1.000010000100002072e+00 1.099658208588522902e-02 7.143973235851963643e-01 4.485656580767088397e-01 6.972192223806807920e-01 -2.445847484193080373e-02 3.125176199271816752e-02
1.854241812320642224e-01 1.099658208588522902e-02 1.000010000100000740e+00 3.544544139241354586e-01 -3.492913658520059306e-01 -3.643255465221345579e-01 -1.415627145639494766e-02 3.389761717781941686e-02
8.031679919023639869e-01 7.143973235851963643e-01 3.544544139241354586e-01 1.000010000100002072e+00 2.416089618751236512e-01 5.109479268317724809e-01 -2.072259394613934144e-02 7.934802428426046550e-02
3.086107660681656206e-01 4.485656580767088397e-01 -3.492913658520059306e-01 2.416089618751236512e-01 1.000010000100000962e+00 7.174870330928905249e-01 -9.563337582874453444e-03 2.070311962648406848e-02
6.048348446394182787e-01 6.972192223806807920e-01 -3.643255465221345579e-01 5.109479268317724809e-01 7.174870330928905249e-01 1.000010000100002516e+00 -1.571747930393894294e-02 1.958066301838210302e-02
-2.679926233184918433e-02 -2.445847484193080373e-02 -1.415627145639494766e-02 -2.072259394613934144e-02 -9.563337582874453444e-03 -1.571747930393894294e-02 1.000010000100001628e+00 1.430471442463470029e-02
2.703692883513640621e-02 3.125176199271816752e-02 3.389761717781941686e-02 7.934802428426046550e-02 2.070311962648406848e-02 1.958066301838210302e-02 1.430471442463470029e-02 1.000010000100000518e+00
