# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=True, normalized=False
1.048029560378389391e+01 1.124259136629165823e+03 5.278167257743604068e+02 1.415714229975088529e+03 1.009842036929311959e+00 2.801610083918060354e+02 4.099462444522008475e-01 1.044326098368922595e-01
1.184911641875962651e+00 7.094862778521678592e+02 2.829417927786571454e+02 3.620958284471275306e+02 1.298129975575591233e-01 3.850540094792458490e+02 1.385143707398889534e-01 4.493640531984990222e-02
1.000010000100002516e+00 7.937227478891097920e-01 1.869375434598962993e-01 8.026361429823805071e-01 3.074572789137763884e-01 6.026327561005745403e-01 -2.504163987064645172e-02 2.691071942063296210e-02
7.937227478891097920e-01 1.000010000100000740e+00 1.190587559294991812e-02 7.133072018785084900e-01 4.475597847251313044e-01 6.956604051477922601e-01 -2.191850525137608446e-02 3.072943821190526545e-02
1.869375434598962993e-01 1.190587559294991812e-02 1.000010000100001628e+00 3.559157611632480789e-01 -3.490536081264250523e-01 -3.648084979507590364e-01 -1.413126698863138159e-02 3.370182363076138637e-02
8.026361429823805071e-01 7.133072018785084900e-01 3.559157611632480789e-01 1.000010000100002516e+00 2.402602273196342564e-01 5.083326357289121855e-01 -1.996047420000918518e-02 7.914451347678065629e-02
3.074572789137763884e-01 4.475597847251313044e-01 -3.490536081264250523e-01 2.402602273196342564e-01 1.000010000100000740e+00 7.175118723172799751e-01 -7.414373856601871177e-03 2.050356680476194543e-02
6.026327561005745403e-01 6.956604051477922601e-01 -3.648084979507590364e-01 5.083326357289121855e-01 7.175118723172799751e-01 1.000010000100000740e+00 -1.352060923817401290e-02 1.929782653148931493e-02
-2.504163987064645172e-02 -2.191850525137608446e-02 -1.413126698863138159e-02 -1.996047420000918518e-02 -7.414373856601871177e-03 -1.352060923817401290e-02 1.000010000100000074e+00 1.475237362825253772e-02
2.691071942063296210e-02 3.072943821190526545e-02 3.370182363076138637e-02 7.914451347678065629e-02 2.050356680476194543e-02 1.929782653148931493e-02 1.475237362825253772e-02 1.000010000100000962e+00
