# S12 Cl2 Cl3 s16 R27 Ct180 align23S ALV
# #centered=True, unitless=False, normalized=True
1.048901685256103100e+01 1.089429489521627147e+03 5.317900605731382484e+02 1.412079282023215683e+03 1.004443014973098958e+00 2.640534328552361671e+02 4.124306525419221825e-01 1.027385148319536479e-01
1.145137524759563430e+00 7.001531822477062406e+02 2.901134648379324403e+02 3.600982466002009232e+02 1.303535607750567760e-01 3.923805711276734769e+02 1.346319278682493181e-01 4.478287580125906581e-02
1.000000000000000000e+00 7.792428167619348534e-01 2.149733923775986599e-01 7.843211652649483279e-01 2.810531507303809517e-01 5.862707222686340813e-01 -2.182688010059499056e-02 6.283249730207413931e-03
7.792428167619347423e-01 1.000000000000000000e+00 7.573294914569344248e-03 6.881115988930563976e-01 4.292266032983725332e-01 6.934938008965154665e-01 -2.813619008134460309e-02 -1.770051931306546381e-02
2.149733923775986599e-01 7.573294914569345115e-03 1.000000000000000000e+00 3.668385609366796030e-01 -3.660537041286318627e-01 -3.568718760241212373e-01 1.674949654694549844e-02 1.977995579707999066e-02
7.843211652649484389e-01 6.881115988930563976e-01 3.668385609366796030e-01 1.000000000000000000e+00 1.975376129219212906e-01 4.989602341742956915e-01 3.882048573054755047e-03 9.162612506747241925e-02
2.810531507303810073e-01 4.292266032983725887e-01 -3.660537041286318627e-01 1.975376129219212629e-01 1.000000000000000000e+00 7.186809405577367915e-01 -2.015764574492963368e-02 5.024168520125548570e-02
5.862707222686340813e-01 6.934938008965154665e-01 -3.568718760241212928e-01 4.989602341742956915e-01 7.186809405577367915e-01 9.999999999999998890e-01 -1.642152083852455730e-02 2.484555804143426944e-02
-2.182688010059498709e-02 -2.813619008134460656e-02 1.674949654694549844e-02 3.882048573054754613e-03 -2.015764574492963368e-02 -1.642152083852455730e-02 1.000000000000000000e+00 3.509298055612525974e-02
6.283249730207413931e-03 -1.770051931306546381e-02 1.977995579707999066e-02 9.162612506747241925e-02 5.024168520125548570e-02 2.484555804143426597e-02 3.509298055612525974e-02 1.000000000000000000e+00
