# realization, C(theta=180) 
7.499900000000000000e+04 6.076008127399326213e+02
7.500000000000000000e+04 6.293624969477630202e+02
7.500100000000000000e+04 4.230715068723897616e+02
7.500200000000000000e+04 3.261447633404204680e+02
7.500300000000000000e+04 1.803175541316319368e+02
7.500400000000000000e+04 1.964576962591377765e+02
7.500500000000000000e+04 7.300178294746237952e+02
7.500600000000000000e+04 1.598188772418635608e+02
7.500700000000000000e+04 -4.563898988841175708e+01
7.500800000000000000e+04 8.066221054024101988e+01
7.500900000000000000e+04 -1.137212678836325352e+02
7.501000000000000000e+04 -1.178768211472974201e+02
7.501100000000000000e+04 6.489178672083471611e+01
7.501200000000000000e+04 2.163509938621480728e+02
7.501300000000000000e+04 1.647470573274411834e+02
7.501400000000000000e+04 2.036166117877169768e+01
7.501500000000000000e+04 -1.630727221765969546e+02
7.501600000000000000e+04 6.165446235047503478e+02
7.501700000000000000e+04 4.567632875641081682e+02
7.501800000000000000e+04 8.693899617513696967e+02
7.501900000000000000e+04 5.392995191767570304e+02
7.502000000000000000e+04 -3.060277815570645998e+02
7.502100000000000000e+04 2.698582629363647243e+02
7.502200000000000000e+04 3.915105738887399980e+02
7.502300000000000000e+04 7.065180382786477367e+02
7.502400000000000000e+04 3.028170176572537571e+02
7.502500000000000000e+04 5.037404595477376006e+02
7.502600000000000000e+04 9.775059362352668586e+02
7.502700000000000000e+04 -9.768740494919927642e+01
7.502800000000000000e+04 8.346430699137999909e+02
7.502900000000000000e+04 -3.258693785731947514e+02
7.503000000000000000e+04 1.894883884295611836e+02
7.503100000000000000e+04 -3.063474625789262404e+02
7.503200000000000000e+04 1.070834794470804354e+02
7.503300000000000000e+04 -1.296797774901031630e+02
7.503400000000000000e+04 -9.841836318800704930e+01
7.503500000000000000e+04 6.055656962292201797e+02
7.503600000000000000e+04 2.127338667832005683e+02
7.503700000000000000e+04 4.557530563197717584e+02
7.503800000000000000e+04 2.811807562092549233e+02
7.503900000000000000e+04 1.197304093015143280e+02
7.504000000000000000e+04 -1.164581512807486945e+02
7.504100000000000000e+04 6.484829595496919410e+02
7.504200000000000000e+04 3.173811531488294122e+02
7.504300000000000000e+04 2.994120165136536684e+02
7.504400000000000000e+04 9.076086002462398028e+02
7.504500000000000000e+04 3.386738648631837805e+02
7.504600000000000000e+04 -1.189653202523952018e+02
7.504700000000000000e+04 3.132213304581283069e+02
7.504800000000000000e+04 5.328262664508965827e+02
7.504900000000000000e+04 9.782194082068499483e+02
7.505000000000000000e+04 6.859675699469406140e+01
7.505100000000000000e+04 -1.445340655664641645e+02
7.505200000000000000e+04 2.597554620535892695e+02
