# realization, S_1/2
3.749900000000000000e+04 1.384156956811787386e+05
3.750000000000000000e+04 7.828140455722172919e+04
3.750100000000000000e+04 1.971477289298063261e+04
3.750200000000000000e+04 3.067143796796068273e+04
3.750300000000000000e+04 1.109531468676592158e+04
3.750400000000000000e+04 2.258057490714978485e+04
3.750500000000000000e+04 1.455361965028493723e+05
3.750600000000000000e+04 3.723229218240047339e+04
3.750700000000000000e+04 1.867789788095116091e+04
3.750800000000000000e+04 1.454516471911208100e+04
3.750900000000000000e+04 5.565789971255386627e+04
3.751000000000000000e+04 2.780348830447348519e+03
3.751100000000000000e+04 2.598981759739323752e+04
3.751200000000000000e+04 8.683685305363565931e+03
3.751300000000000000e+04 3.343825592669619073e+04
3.751400000000000000e+04 7.934281106780772461e+03
3.751500000000000000e+04 2.530645007485742462e+04
3.751600000000000000e+04 5.303120503539009223e+04
3.751700000000000000e+04 6.456329039483305678e+04
3.751800000000000000e+04 7.402622979656737880e+04
3.751900000000000000e+04 1.247341131327348194e+04
3.752000000000000000e+04 2.153811280517072737e+04
3.752100000000000000e+04 1.163177456412799802e+05
3.752200000000000000e+04 1.232006567257847491e+05
3.752300000000000000e+04 9.496425148315847036e+04
3.752400000000000000e+04 4.188330617002518557e+04
3.752500000000000000e+04 2.907128318974323338e+05
3.752600000000000000e+04 2.550842674080440484e+05
3.752700000000000000e+04 9.978914203913753227e+03
3.752800000000000000e+04 1.555392359586288221e+05
3.752900000000000000e+04 1.111785110202937358e+04
3.753000000000000000e+04 1.520480257133851774e+04
3.753100000000000000e+04 2.169879838966568786e+04
3.753200000000000000e+04 1.113080866803917525e+04
3.753300000000000000e+04 2.275134829681905558e+03
3.753400000000000000e+04 1.962023199683759594e+04
3.753500000000000000e+04 3.961225690515356109e+04
3.753600000000000000e+04 1.904653560017705604e+04
3.753700000000000000e+04 3.115967294789618245e+04
3.753800000000000000e+04 3.869263327220691281e+04
3.753900000000000000e+04 2.229941987607905321e+04
3.754000000000000000e+04 2.782438665306754410e+04
3.754100000000000000e+04 8.229363303274956706e+04
3.754200000000000000e+04 1.663834175497775868e+04
3.754300000000000000e+04 1.345984942135878555e+04
3.754400000000000000e+04 1.001229609635694069e+05
3.754500000000000000e+04 4.380934553035854333e+04
3.754600000000000000e+04 2.341396965575120703e+04
3.754700000000000000e+04 1.737116499707754338e+04
3.754800000000000000e+04 8.755290226301389339e+04
3.754900000000000000e+04 2.146746782168312347e+05
3.755000000000000000e+04 2.174141400274451371e+04
3.755100000000000000e+04 1.327499745259570045e+04
3.755200000000000000e+04 7.527932496194032137e+04
3.755300000000000000e+04 4.816396602397253446e+04
3.755400000000000000e+04 3.667009206691123836e+04
3.755500000000000000e+04 7.897793688399964594e+03
3.755600000000000000e+04 4.747907127878074534e+05
3.755700000000000000e+04 3.899559861664382333e+04
3.755800000000000000e+04 2.230717157193241292e+04
3.755900000000000000e+04 1.567071230736174766e+04
3.756000000000000000e+04 6.708118681843239756e+04
3.756100000000000000e+04 5.920778606637352641e+04
3.756200000000000000e+04 9.857513857238449418e+03
3.756300000000000000e+04 3.280746001891420747e+04
3.756400000000000000e+04 4.385615835150495695e+04
3.756500000000000000e+04 9.593140744184845971e+03
3.756600000000000000e+04 4.637244634671609674e+03
3.756700000000000000e+04 3.059434893261751495e+04
3.756800000000000000e+04 2.629136311924897018e+04
3.756900000000000000e+04 3.445123674091062276e+04
3.757000000000000000e+04 3.377906917242478085e+04
3.757100000000000000e+04 2.134225985457540082e+04
3.757200000000000000e+04 6.215880303122204350e+04
3.757300000000000000e+04 1.040212269666191278e+05
3.757400000000000000e+04 6.092024150815302710e+04
3.757500000000000000e+04 2.856892274980334332e+05
3.757600000000000000e+04 8.428539784198907000e+03
3.757700000000000000e+04 4.604208984337289621e+03
3.757800000000000000e+04 1.477937507001439917e+04
3.757900000000000000e+04 2.818458411166135556e+04
3.758000000000000000e+04 2.723969965801437502e+04
3.758100000000000000e+04 2.791229187881914913e+04
3.758200000000000000e+04 1.251383159088777757e+04
3.758300000000000000e+04 6.020053785023274941e+03
3.758400000000000000e+04 7.187427165846158459e+04
3.758500000000000000e+04 7.801245652109307412e+04
3.758600000000000000e+04 1.917638567029899277e+05
3.758700000000000000e+04 3.380996270024278056e+04
3.758800000000000000e+04 2.763159827941045296e+04
3.758900000000000000e+04 1.366847578877275191e+04
3.759000000000000000e+04 9.326294803289810079e+04
3.759100000000000000e+04 1.011687688990335664e+04
3.759200000000000000e+04 7.846137118490678404e+03
3.759300000000000000e+04 2.243689594999750261e+04
3.759400000000000000e+04 6.445194681492804375e+04
3.759500000000000000e+04 9.602436847927409690e+04
3.759600000000000000e+04 4.934501552440469968e+05
3.759700000000000000e+04 3.070906300872492648e+04
3.759800000000000000e+04 3.506482351584699700e+03
3.759900000000000000e+04 3.341501516180459876e+05
3.760000000000000000e+04 4.642721369344662526e+04
3.760100000000000000e+04 2.875992773019239030e+04
3.760200000000000000e+04 9.801449985247250879e+03
3.760300000000000000e+04 2.248556202464339731e+04
3.760400000000000000e+04 9.111706632100310526e+04
3.760500000000000000e+04 4.976297790001488465e+04
3.760600000000000000e+04 3.117475605803313738e+04
3.760700000000000000e+04 4.531007036196502304e+04
3.760800000000000000e+04 3.144917704442618997e+05
3.760900000000000000e+04 1.550684706568221154e+05
3.761000000000000000e+04 2.239205500124725804e+05
3.761100000000000000e+04 2.068320274469759315e+05
3.761200000000000000e+04 8.048777266031068575e+04
3.761300000000000000e+04 3.149371565511053268e+04
3.761400000000000000e+04 2.785934339104305036e+04
3.761500000000000000e+04 2.605956905526193441e+04
3.761600000000000000e+04 5.600520477978832787e+04
3.761700000000000000e+04 3.236230521027985378e+04
3.761800000000000000e+04 6.463735870392346988e+04
3.761900000000000000e+04 5.366626557191912434e+04
3.762000000000000000e+04 1.803506441509565047e+04
3.762100000000000000e+04 6.085766794841044430e+03
3.762200000000000000e+04 6.422868477463833551e+04
3.762300000000000000e+04 2.010561006036988329e+04
3.762400000000000000e+04 1.117051438083439280e+05
3.762500000000000000e+04 1.226763082227874547e+05
3.762600000000000000e+04 3.609244480988575378e+04
3.762700000000000000e+04 1.529146529473920527e+05
3.762800000000000000e+04 4.234564715003531455e+04
3.762900000000000000e+04 1.565308684279432964e+04
3.763000000000000000e+04 1.057126497009839659e+05
3.763100000000000000e+04 1.112201224349176919e+05
3.763200000000000000e+04 2.693327325399006077e+04
3.763300000000000000e+04 4.736208542829523503e+04
3.763400000000000000e+04 6.806170092245521118e+03
3.763500000000000000e+04 1.366696840872027133e+04
3.763600000000000000e+04 1.963874211851535438e+04
3.763700000000000000e+04 3.366740632826438377e+04
3.763800000000000000e+04 5.350345370304554672e+04
3.763900000000000000e+04 3.705466309491119318e+04
