# realization, C_[ell=3] 
6.249900000000000000e+04 8.798632547826351811e+02
6.250000000000000000e+04 3.460084055744637794e+02
6.250100000000000000e+04 7.721948574100456426e+02
6.250200000000000000e+04 1.749040013623481400e+02
6.250300000000000000e+04 5.303102273385436547e+02
6.250400000000000000e+04 5.752344579909313325e+02
6.250500000000000000e+04 5.841339811349160982e+02
6.250600000000000000e+04 7.237138720055111207e+02
6.250700000000000000e+04 4.765576884356042342e+02
6.250800000000000000e+04 3.134515436705516436e+02
6.250900000000000000e+04 8.064121340671771350e+02
6.251000000000000000e+04 2.313857293707788187e+02
6.251100000000000000e+04 5.921148932282790156e+02
6.251200000000000000e+04 3.036349937105595700e+02
6.251300000000000000e+04 6.774159295061836019e+02
6.251400000000000000e+04 2.762802460320477849e+02
6.251500000000000000e+04 5.617835549108393707e+02
6.251600000000000000e+04 4.601167333896723335e+02
6.251700000000000000e+04 3.292597189998550107e+02
6.251800000000000000e+04 2.730478673596583690e+02
6.251900000000000000e+04 2.253183025854875154e+02
6.252000000000000000e+04 5.934611861343024657e+02
6.252100000000000000e+04 9.183422375793579704e+02
6.252200000000000000e+04 6.333051792192419498e+02
6.252300000000000000e+04 3.123811282502667268e+02
6.252400000000000000e+04 1.036896580227235916e+02
6.252500000000000000e+04 1.082385112526521198e+03
6.252600000000000000e+04 4.219002721426701896e+02
6.252700000000000000e+04 8.374556032912162209e+02
6.252800000000000000e+04 3.971550356634957097e+02
6.252900000000000000e+04 6.525994489752548589e+02
6.253000000000000000e+04 4.289715716508288779e+02
6.253100000000000000e+04 8.360800915334178853e+02
6.253200000000000000e+04 4.588067550817434608e+02
6.253300000000000000e+04 5.111640666027637394e+02
6.253400000000000000e+04 7.365883408667217509e+02
6.253500000000000000e+04 1.760973661927798446e+02
6.253600000000000000e+04 5.943777463888221746e+02
6.253700000000000000e+04 5.264214508460156594e+02
6.253800000000000000e+04 3.251802521626420344e+02
6.253900000000000000e+04 5.436154723056271223e+02
6.254000000000000000e+04 7.034827928542973723e+02
6.254100000000000000e+04 2.286510433817521459e+02
6.254200000000000000e+04 7.333990047054327306e+02
6.254300000000000000e+04 4.861569748182087096e+02
6.254400000000000000e+04 1.202352288275002792e+02
6.254500000000000000e+04 4.803960693217904350e+02
6.254600000000000000e+04 5.100104636481431726e+02
6.254700000000000000e+04 4.749279295391425535e+02
6.254800000000000000e+04 3.983915494615882835e+02
6.254900000000000000e+04 2.457792860957673042e+02
6.255000000000000000e+04 4.982133658242034926e+02
6.255100000000000000e+04 5.518607192540279129e+02
6.255200000000000000e+04 4.622564619038411138e+02
6.255300000000000000e+04 7.189418597651591654e+02
6.255400000000000000e+04 4.152664238103320145e+02
6.255500000000000000e+04 3.832360023002637490e+02
6.255600000000000000e+04 1.982251160190635346e+02
6.255700000000000000e+04 4.732210630521979624e+02
6.255800000000000000e+04 3.829533818068114215e+02
6.255900000000000000e+04 4.103728929647455743e+02
6.256000000000000000e+04 1.752122605574925956e+03
6.256100000000000000e+04 9.608116047574931144e+02
6.256200000000000000e+04 1.018561282996914542e+03
6.256300000000000000e+04 1.042523320631428078e+03
6.256400000000000000e+04 4.047053327239621012e+02
6.256500000000000000e+04 6.834839155618427640e+02
6.256600000000000000e+04 3.507268816024093780e+02
6.256700000000000000e+04 5.180559938021377775e+02
6.256800000000000000e+04 9.628010943419180023e+01
6.256900000000000000e+04 4.552978438818724953e+02
6.257000000000000000e+04 5.095880107466601316e+02
6.257100000000000000e+04 2.125578262593808176e+02
6.257200000000000000e+04 5.535362389938243268e+02
6.257300000000000000e+04 3.632860618657001623e+02
6.257400000000000000e+04 7.515531041577422684e+02
6.257500000000000000e+04 4.000995452723774406e+02
6.257600000000000000e+04 5.466037543064206830e+02
6.257700000000000000e+04 2.919309135604412972e+02
6.257800000000000000e+04 6.109582620317603414e+02
6.257900000000000000e+04 6.266264634633502055e+02
6.258000000000000000e+04 3.812960876587033567e+02
6.258100000000000000e+04 2.657904800364602238e+02
6.258200000000000000e+04 3.519333494477817226e+02
6.258300000000000000e+04 3.280046364574355380e+02
6.258400000000000000e+04 2.718174143370565616e+02
6.258500000000000000e+04 5.790800149634964100e+02
6.258600000000000000e+04 5.149722052488044710e+02
6.258700000000000000e+04 7.061429151454207158e+02
6.258800000000000000e+04 7.905110308536006869e+02
6.258900000000000000e+04 6.587916010715736093e+02
6.259000000000000000e+04 9.240422181902820284e+02
6.259100000000000000e+04 4.474563415944492135e+02
6.259200000000000000e+04 2.513448976618477104e+02
6.259300000000000000e+04 1.397061797942025407e+02
6.259400000000000000e+04 8.418109542244517343e+02
6.259500000000000000e+04 5.116407025068879761e+02
6.259600000000000000e+04 3.560015835233839994e+02
6.259700000000000000e+04 7.947539567885661427e+02
6.259800000000000000e+04 2.306606795892608091e+02
6.259900000000000000e+04 1.873786357586961230e+03
6.260000000000000000e+04 3.101023204724223206e+02
6.260100000000000000e+04 8.609441794487995594e+02
6.260200000000000000e+04 4.098911905937119400e+02
6.260300000000000000e+04 5.512670013495827561e+02
6.260400000000000000e+04 1.209328492553225658e+02
6.260500000000000000e+04 3.936629921372323793e+02
6.260600000000000000e+04 2.979464040269689917e+02
6.260700000000000000e+04 2.079219238316514691e+02
6.260800000000000000e+04 2.985443860756415688e+02
6.260900000000000000e+04 7.412820474780846780e+02
6.261000000000000000e+04 5.841417932492768159e+02
6.261100000000000000e+04 2.792178910799945584e+02
6.261200000000000000e+04 6.883268483763030190e+02
6.261300000000000000e+04 5.754715916215027391e+02
6.261400000000000000e+04 6.435812067516355910e+02
6.261500000000000000e+04 2.376558880531712816e+02
6.261600000000000000e+04 6.901347494709837065e+02
6.261700000000000000e+04 1.156178519991004805e+03
6.261800000000000000e+04 4.444984389741971995e+02
6.261900000000000000e+04 1.197240366865837586e+03
6.262000000000000000e+04 6.812558908962384976e+02
6.262100000000000000e+04 3.340125540198340559e+02
6.262200000000000000e+04 6.918248635110218174e+02
6.262300000000000000e+04 7.280929450395195772e+02
6.262400000000000000e+04 6.788199409186408957e+02
6.262500000000000000e+04 1.367996298225425335e+03
6.262600000000000000e+04 1.008622137322522121e+03
6.262700000000000000e+04 7.571943216707054489e+02
6.262800000000000000e+04 1.098648845259903283e+03
6.262900000000000000e+04 4.332236848601073120e+02
6.263000000000000000e+04 3.797826853919777932e+02
6.263100000000000000e+04 2.764129915543175571e+02
6.263200000000000000e+04 2.126856575702412613e+02
6.263300000000000000e+04 1.137832734324678086e+03
6.263400000000000000e+04 3.469010297799170530e+02
6.263500000000000000e+04 3.421146615863707297e+01
6.263600000000000000e+04 2.528564161395104009e+02
6.263700000000000000e+04 2.115966122595023649e+02
6.263800000000000000e+04 6.284259157597824696e+02
6.263900000000000000e+04 2.995723462357083235e+02
6.264000000000000000e+04 6.777502164071078141e+02
6.264100000000000000e+04 6.849385176639800648e+02
6.264200000000000000e+04 4.558918465497100669e+02
6.264300000000000000e+04 5.290803739335976843e+02
6.264400000000000000e+04 1.660332595227206696e+02
6.264500000000000000e+04 4.895117565279382461e+02
6.264600000000000000e+04 5.169838631325267215e+02
6.264700000000000000e+04 1.984156803578691779e+02
6.264800000000000000e+04 3.734883985749593762e+02
6.264900000000000000e+04 5.873139804331659661e+02
6.265000000000000000e+04 3.210639056195809076e+02
6.265100000000000000e+04 9.073894456031047184e+02
6.265200000000000000e+04 1.429213001617539192e+02
6.265300000000000000e+04 7.278950671373471550e+02
6.265400000000000000e+04 4.946605354932838168e+02
6.265500000000000000e+04 3.501768157520182285e+02
6.265600000000000000e+04 5.501629012916724832e+02
6.265700000000000000e+04 5.587178494250281346e+02
6.265800000000000000e+04 5.612461716036074222e+02
6.265900000000000000e+04 2.069021614706790899e+02
6.266000000000000000e+04 4.407508534068279005e+02
6.266100000000000000e+04 1.102612185694359596e+03
6.266200000000000000e+04 3.963913579603184871e+02
6.266300000000000000e+04 6.279413262410347443e+02
6.266400000000000000e+04 1.655018274895101626e+02
6.266500000000000000e+04 4.672654556655288047e+02
6.266600000000000000e+04 8.461267687900872261e+02
6.266700000000000000e+04 4.305244736897832354e+02
6.266800000000000000e+04 2.255781553118629574e+02
6.266900000000000000e+04 1.062316055917862286e+03
6.267000000000000000e+04 3.865875992801158532e+02
6.267100000000000000e+04 5.950445104206144151e+02
6.267200000000000000e+04 3.392480110054339093e+02
6.267300000000000000e+04 3.392237911462410125e+02
6.267400000000000000e+04 4.629736328676104904e+02
6.267500000000000000e+04 8.417372697276252893e+02
6.267600000000000000e+04 7.937535015278970150e+02
6.267700000000000000e+04 4.921654969152749004e+02
6.267800000000000000e+04 4.871865854612906332e+02
6.267900000000000000e+04 4.971541099705473243e+02
6.268000000000000000e+04 1.343000601963327370e+02
6.268100000000000000e+04 2.350516545476550903e+02
