# realization, C_[ell=3] 
1.249900000000000000e+04 8.523762664327607581e+02
1.250000000000000000e+04 2.919626935044896641e+02
1.250100000000000000e+04 2.162087259719702956e+02
1.250200000000000000e+04 1.738895019930163528e+02
1.250300000000000000e+04 5.365486856787110810e+02
1.250400000000000000e+04 6.178022040966552595e+02
1.250500000000000000e+04 6.354685833932321657e+02
1.250600000000000000e+04 7.507266174234550817e+02
1.250700000000000000e+04 6.609086177234124762e+02
1.250800000000000000e+04 3.314421107676556630e+02
1.250900000000000000e+04 1.168845150787835337e+03
1.251000000000000000e+04 2.525559923153810757e+02
1.251100000000000000e+04 5.753502013052684561e+02
1.251200000000000000e+04 2.048567334804570805e+02
1.251300000000000000e+04 5.934707127259649724e+02
1.251400000000000000e+04 2.796972524066341066e+02
1.251500000000000000e+04 8.009778818227199508e+02
1.251600000000000000e+04 4.598930038589049900e+02
1.251700000000000000e+04 2.419798166347471806e+02
1.251800000000000000e+04 1.304658629914962944e+02
1.251900000000000000e+04 2.040343367923269398e+02
1.252000000000000000e+04 6.019867620074115848e+02
1.252100000000000000e+04 1.310690261202024885e+03
1.252200000000000000e+04 5.264669206737871718e+02
1.252300000000000000e+04 3.112213246867877388e+02
1.252400000000000000e+04 1.414727126915148858e+02
1.252500000000000000e+04 1.283254230927901745e+03
1.252600000000000000e+04 3.715711836006515796e+02
1.252700000000000000e+04 4.055547452924349727e+02
1.252800000000000000e+04 3.072155411136151884e+02
1.252900000000000000e+04 5.581070718558147519e+02
1.253000000000000000e+04 4.134616846400040799e+02
1.253100000000000000e+04 8.265069261580437114e+02
1.253200000000000000e+04 3.261654840451125210e+02
1.253300000000000000e+04 3.376576721368950302e+02
1.253400000000000000e+04 7.494180711563258228e+02
1.253500000000000000e+04 2.243368113208415480e+02
1.253600000000000000e+04 6.790028268321560745e+02
1.253700000000000000e+04 3.651726510369375092e+02
1.253800000000000000e+04 3.941466287274710680e+02
1.253900000000000000e+04 4.989085835921208059e+02
1.254000000000000000e+04 8.156598387264663188e+02
1.254100000000000000e+04 3.746817873356269502e+02
1.254200000000000000e+04 3.939477380639852413e+02
1.254300000000000000e+04 3.148798526698549836e+02
1.254400000000000000e+04 1.182565195001757985e+02
1.254500000000000000e+04 2.911540465480388775e+02
1.254600000000000000e+04 7.075565066271051364e+02
1.254700000000000000e+04 4.160460797075293726e+02
1.254800000000000000e+04 2.025337938925502499e+02
1.254900000000000000e+04 1.471068277082028715e+02
1.255000000000000000e+04 6.371263839433755720e+02
