# realization, C(theta=180) 
7.499900000000000000e+04 6.584221222145940828e+02
7.500000000000000000e+04 6.688448916750197668e+02
7.500100000000000000e+04 3.949074785368050584e+02
7.500200000000000000e+04 2.937318556984573661e+02
7.500300000000000000e+04 1.893088255396193631e+02
7.500400000000000000e+04 1.783227678164833208e+02
7.500500000000000000e+04 6.933039818515211437e+02
7.500600000000000000e+04 1.608325734609935296e+02
7.500700000000000000e+04 -4.451367362119180626e+01
7.500800000000000000e+04 4.971314197965082826e+01
7.500900000000000000e+04 -1.184348231934492475e+02
7.501000000000000000e+04 -9.637708942313085458e+01
7.501100000000000000e+04 6.379597783440278391e+01
7.501200000000000000e+04 2.258919365518071061e+02
7.501300000000000000e+04 1.311627913318828860e+02
7.501400000000000000e+04 1.532650996483653216e+01
7.501500000000000000e+04 -1.502085664099088547e+02
7.501600000000000000e+04 5.749121623712960627e+02
7.501700000000000000e+04 4.332173821700411054e+02
7.501800000000000000e+04 8.314981269249396973e+02
7.501900000000000000e+04 5.217363127612907192e+02
7.502000000000000000e+04 -2.870684942087476657e+02
7.502100000000000000e+04 3.069384915409468704e+02
7.502200000000000000e+04 3.802145815348275733e+02
7.502300000000000000e+04 7.433743354271043700e+02
7.502400000000000000e+04 2.909576401405756201e+02
7.502500000000000000e+04 4.436015841542017029e+02
7.502600000000000000e+04 9.404633147686771508e+02
7.502700000000000000e+04 -9.859298942697802204e+01
7.502800000000000000e+04 8.704469670469584344e+02
7.502900000000000000e+04 -3.274449680652255665e+02
7.503000000000000000e+04 1.973316952412078535e+02
7.503100000000000000e+04 -3.216935860702576520e+02
7.503200000000000000e+04 1.270814468336720040e+02
7.503300000000000000e+04 -1.425439653639136282e+02
7.503400000000000000e+04 -9.236945891939416242e+01
7.503500000000000000e+04 5.901239050146440377e+02
7.503600000000000000e+04 2.340107063957823073e+02
7.503700000000000000e+04 4.330319208012915624e+02
7.503800000000000000e+04 2.751581098772180667e+02
7.503900000000000000e+04 1.099320648484462595e+02
7.504000000000000000e+04 -1.151398181673990990e+02
7.504100000000000000e+04 5.919015466917736603e+02
7.504200000000000000e+04 3.232157458682351034e+02
