# realization, S_1/2
1.249900000000000000e+04 1.600988684758609452e+05
1.250000000000000000e+04 9.349199111637807800e+04
1.250100000000000000e+04 1.707295117645120263e+04
1.250200000000000000e+04 2.378564263661922087e+04
1.250300000000000000e+04 1.177457177269291969e+04
1.250400000000000000e+04 2.216519057017296655e+04
1.250500000000000000e+04 1.290500077236640209e+05
1.250600000000000000e+04 3.835639011744736490e+04
1.250700000000000000e+04 1.926996708243799731e+04
1.250800000000000000e+04 1.124310642681874924e+04
1.250900000000000000e+04 5.633323193888895185e+04
1.251000000000000000e+04 3.220540936507186871e+03
1.251100000000000000e+04 2.480990337763106800e+04
1.251200000000000000e+04 9.186874657819500499e+03
1.251300000000000000e+04 2.853782787662847841e+04
1.251400000000000000e+04 7.765997171156799595e+03
1.251500000000000000e+04 2.586513977657678333e+04
1.251600000000000000e+04 4.417373487677251251e+04
1.251700000000000000e+04 5.860152560573811934e+04
1.251800000000000000e+04 6.418274843616009457e+04
1.251900000000000000e+04 1.182678741310947044e+04
1.252000000000000000e+04 2.427266953943529734e+04
1.252100000000000000e+04 1.282072027713488787e+05
1.252200000000000000e+04 1.188673550171095703e+05
1.252300000000000000e+04 1.066642066775991407e+05
1.252400000000000000e+04 3.815896090713585727e+04
1.252500000000000000e+04 2.567486457506042207e+05
1.252600000000000000e+04 2.327452633681793523e+05
1.252700000000000000e+04 9.551076170407175596e+03
1.252800000000000000e+04 1.748876541003466118e+05
1.252900000000000000e+04 1.115288444244414677e+04
1.253000000000000000e+04 1.564836059223733537e+04
1.253100000000000000e+04 2.151543805280825109e+04
1.253200000000000000e+04 1.296559131882151996e+04
1.253300000000000000e+04 2.107744095534419102e+03
1.253400000000000000e+04 1.951974635621760535e+04
1.253500000000000000e+04 3.696081428533709550e+04
1.253600000000000000e+04 2.058823474459194040e+04
1.253700000000000000e+04 2.784941547830788113e+04
1.253800000000000000e+04 3.816204875608426664e+04
1.253900000000000000e+04 2.137442156282550786e+04
1.254000000000000000e+04 2.802572554085135562e+04
1.254100000000000000e+04 6.538870295593278570e+04
1.254200000000000000e+04 1.809524247916475724e+04
1.254300000000000000e+04 1.060741189222339381e+04
1.254400000000000000e+04 1.063325577693116793e+05
1.254500000000000000e+04 3.993778036927698849e+04
1.254600000000000000e+04 2.098707080374905490e+04
1.254700000000000000e+04 2.039405022609779917e+04
1.254800000000000000e+04 1.029954628880592354e+05
1.254900000000000000e+04 2.202910291235637269e+05
1.255000000000000000e+04 2.003451616935740822e+04
1.255100000000000000e+04 1.348842251127075178e+04
1.255200000000000000e+04 9.088643490151538572e+04
1.255300000000000000e+04 3.871856112510551611e+04
1.255400000000000000e+04 3.819775863171163655e+04
1.255500000000000000e+04 6.873397561402520296e+03
1.255600000000000000e+04 4.490917101474954397e+05
1.255700000000000000e+04 4.362158678850777505e+04
1.255800000000000000e+04 2.463810288708284497e+04
1.255900000000000000e+04 1.520307335890070135e+04
1.256000000000000000e+04 6.968179931707157812e+04
1.256100000000000000e+04 5.513151134083207580e+04
1.256200000000000000e+04 9.869514228261759854e+03
1.256300000000000000e+04 3.071549949562650363e+04
1.256400000000000000e+04 3.500378915413392679e+04
1.256500000000000000e+04 7.672041174663488164e+03
1.256600000000000000e+04 4.328622088833912130e+03
1.256700000000000000e+04 2.481931367030668480e+04
1.256800000000000000e+04 3.208824830868467325e+04
1.256900000000000000e+04 3.569860699918291357e+04
1.257000000000000000e+04 2.555633412106550531e+04
1.257100000000000000e+04 2.150328208660516975e+04
1.257200000000000000e+04 5.845114195480928174e+04
1.257300000000000000e+04 9.858655889609018050e+04
1.257400000000000000e+04 5.720990707402947737e+04
1.257500000000000000e+04 3.262854349851710140e+05
1.257600000000000000e+04 8.411695656966543538e+03
1.257700000000000000e+04 4.897550326864664385e+03
1.257800000000000000e+04 1.473186251379653550e+04
1.257900000000000000e+04 3.453042537777398684e+04
1.258000000000000000e+04 2.182252487440272671e+04
1.258100000000000000e+04 2.517925585831037461e+04
1.258200000000000000e+04 1.009283832364665795e+04
1.258300000000000000e+04 5.836570022700042500e+03
1.258400000000000000e+04 8.495972965524082247e+04
1.258500000000000000e+04 6.914984531602889183e+04
1.258600000000000000e+04 1.919147528806117480e+05
