# realization, C_[ell=3] 
6.249900000000000000e+04 8.798632550812440059e+02
6.250000000000000000e+04 3.460084056443287750e+02
6.250100000000000000e+04 7.721948568947998410e+02
6.250200000000000000e+04 1.749040015086344226e+02
6.250300000000000000e+04 5.303102270110066456e+02
6.250400000000000000e+04 5.752344584557878306e+02
6.250500000000000000e+04 5.841339808474784832e+02
6.250600000000000000e+04 7.237138718520435532e+02
6.250700000000000000e+04 4.765576889979690236e+02
6.250800000000000000e+04 3.134515438022298213e+02
6.250900000000000000e+04 8.064121346243990729e+02
6.251000000000000000e+04 2.313857296419295153e+02
6.251100000000000000e+04 5.921148937585847989e+02
6.251200000000000000e+04 3.036349940369883598e+02
6.251300000000000000e+04 6.774159290148573973e+02
6.251400000000000000e+04 2.762802458515126887e+02
6.251500000000000000e+04 5.617835543682449497e+02
6.251600000000000000e+04 4.601167329786313189e+02
6.251700000000000000e+04 3.292597181232349044e+02
6.251800000000000000e+04 2.730478674804858770e+02
6.251900000000000000e+04 2.253183024597944666e+02
6.252000000000000000e+04 5.934611859597911234e+02
6.252100000000000000e+04 9.183422365494840278e+02
6.252200000000000000e+04 6.333051788413215490e+02
6.252300000000000000e+04 3.123811276551807623e+02
6.252400000000000000e+04 1.036896579221566697e+02
6.252500000000000000e+04 1.082385113035122458e+03
6.252600000000000000e+04 4.219002722493939928e+02
6.252700000000000000e+04 8.374556025984521739e+02
6.252800000000000000e+04 3.971550355538258827e+02
6.252900000000000000e+04 6.525994493184205112e+02
6.253000000000000000e+04 4.289715719676949561e+02
6.253100000000000000e+04 8.360800913856440957e+02
6.253200000000000000e+04 4.588067548392830304e+02
6.253300000000000000e+04 5.111640667093037109e+02
6.253400000000000000e+04 7.365883405296576711e+02
6.253500000000000000e+04 1.760973664193246861e+02
6.253600000000000000e+04 5.943777468235563219e+02
6.253700000000000000e+04 5.264214510618955956e+02
6.253800000000000000e+04 3.251802516288448146e+02
6.253900000000000000e+04 5.436154721384855293e+02
6.254000000000000000e+04 7.034827925515480729e+02
6.254100000000000000e+04 2.286510429399565680e+02
6.254200000000000000e+04 7.333990043750159202e+02
6.254300000000000000e+04 4.861569751846991494e+02
6.254400000000000000e+04 1.202352290319223016e+02
6.254500000000000000e+04 4.803960692386608002e+02
6.254600000000000000e+04 5.100104636075906228e+02
6.254700000000000000e+04 4.749279299663447205e+02
6.254800000000000000e+04 3.983915491954969639e+02
6.254900000000000000e+04 2.457792863091288496e+02
6.255000000000000000e+04 4.982133663286304568e+02
6.255100000000000000e+04 5.518607187687739497e+02
6.255200000000000000e+04 4.622564617264891353e+02
6.255300000000000000e+04 7.189418599754504839e+02
6.255400000000000000e+04 4.152664238910112431e+02
6.255500000000000000e+04 3.832360023832966931e+02
6.255600000000000000e+04 1.982251159422775970e+02
6.255700000000000000e+04 4.732210628565067054e+02
6.255800000000000000e+04 3.829533819341016283e+02
6.255900000000000000e+04 4.103728929343989194e+02
6.256000000000000000e+04 1.752122605444052397e+03
6.256100000000000000e+04 9.608116048660214119e+02
6.256200000000000000e+04 1.018561282508287150e+03
6.256300000000000000e+04 1.042523320326791918e+03
6.256400000000000000e+04 4.047053331945996888e+02
6.256500000000000000e+04 6.834839155994180828e+02
6.256600000000000000e+04 3.507268816471065520e+02
6.256700000000000000e+04 5.180559943226228370e+02
6.256800000000000000e+04 9.628010967376562235e+01
6.256900000000000000e+04 4.552978441377188119e+02
6.257000000000000000e+04 5.095880105976926302e+02
6.257100000000000000e+04 2.125578261825797881e+02
6.257200000000000000e+04 5.535362394123345666e+02
6.257300000000000000e+04 3.632860621039991429e+02
6.257400000000000000e+04 7.515531041387461073e+02
6.257500000000000000e+04 4.000995459796556020e+02
6.257600000000000000e+04 5.466037538336017860e+02
6.257700000000000000e+04 2.919309132219157163e+02
6.257800000000000000e+04 6.109582619616494412e+02
6.257900000000000000e+04 6.266264639489304500e+02
6.258000000000000000e+04 3.812960876063984870e+02
6.258100000000000000e+04 2.657904796887600014e+02
6.258200000000000000e+04 3.519333491639213776e+02
