# realization, C(theta=180) 
8.749900000000000000e+04 9.824840006147869644e+02
8.750000000000000000e+04 4.735490442667548905e+02
8.750100000000000000e+04 7.036084431254724336e+01
8.750200000000000000e+04 2.796828529425420129e+02
8.750300000000000000e+04 2.197856881146160788e+02
8.750400000000000000e+04 8.656475106943236142e+01
8.750500000000000000e+04 4.696673595319182937e+02
8.750600000000000000e+04 2.826044992369189686e+02
8.750700000000000000e+04 2.881013131453310052e+02
8.750800000000000000e+04 2.438357613180448595e+02
8.750900000000000000e+04 1.624092945417295937e+02
8.751000000000000000e+04 -5.741649785032450382e+01
8.751100000000000000e+04 4.674119873759269694e+02
8.751200000000000000e+04 2.962734724894029341e+02
8.751300000000000000e+04 5.994175504584111280e+01
8.751400000000000000e+04 1.979762734318685204e+02
8.751500000000000000e+04 -2.193797097286692406e+02
8.751600000000000000e+04 6.885682495290570841e+02
8.751700000000000000e+04 4.766359547208214167e+02
8.751800000000000000e+04 6.866576248432172633e+02
8.751900000000000000e+04 7.464608859664874672e+02
8.752000000000000000e+04 7.221137561811335104e+01
8.752100000000000000e+04 2.578529756494070853e+02
8.752200000000000000e+04 7.616079663163518489e+02
8.752300000000000000e+04 6.370995198696315356e+02
8.752400000000000000e+04 3.206369440902289512e+02
8.752500000000000000e+04 3.466052895388235129e+02
8.752600000000000000e+04 1.113243897450864097e+03
8.752700000000000000e+04 -1.386245144740597084e+02
8.752800000000000000e+04 5.979539564138033256e+02
8.752900000000000000e+04 -1.078832488600278623e+02
8.753000000000000000e+04 1.275365674250724197e+02
8.753100000000000000e+04 -2.310350127765645425e+02
8.753200000000000000e+04 4.939064327949807875e+01
8.753300000000000000e+04 -1.977664746551437815e+02
8.753400000000000000e+04 -7.117579065483565159e+01
8.753500000000000000e+04 6.613254287988322631e+02
8.753600000000000000e+04 1.578989433658523467e+02
8.753700000000000000e+04 3.269214139857616601e+02
8.753800000000000000e+04 2.922930659554829163e+02
8.753900000000000000e+04 1.893036737726076240e+02
8.754000000000000000e+04 1.259629255134110508e+02
8.754100000000000000e+04 4.159722454651719659e+02
8.754200000000000000e+04 1.210351545369573500e+01
8.754300000000000000e+04 1.581378846269006431e+02
8.754400000000000000e+04 1.108798578484169411e+03
8.754500000000000000e+04 2.340919541099521268e+02
8.754600000000000000e+04 -3.737340464214267399e+01
