# realization, C_[ell=3] 
4.990000000000000000e+02 5.213556504790362851e+02
5.000000000000000000e+02 3.692016537567869250e+02
5.010000000000000000e+02 1.184453174125129408e+03
5.020000000000000000e+02 9.742880138193564790e+02
5.030000000000000000e+02 7.320572316924556162e+02
5.040000000000000000e+02 8.696076175655065299e+02
5.050000000000000000e+02 4.510941280977526162e+02
5.060000000000000000e+02 5.164011716118779987e+02
5.070000000000000000e+02 3.392240720579640083e+02
5.080000000000000000e+02 1.694386017212619890e+03
5.090000000000000000e+02 6.897391014438525190e+02
5.100000000000000000e+02 1.033771499515332692e+02
5.110000000000000000e+02 1.197452569621993916e+03
5.120000000000000000e+02 5.620387771512401969e+02
5.130000000000000000e+02 7.380106290184287445e+02
5.140000000000000000e+02 6.277912345558871721e+02
5.150000000000000000e+02 2.672237957748347412e+02
5.160000000000000000e+02 5.505735726123025415e+02
5.170000000000000000e+02 3.820179221294952754e+02
5.180000000000000000e+02 7.217383805730693211e+02
5.190000000000000000e+02 3.257433984601217958e+02
5.200000000000000000e+02 3.345950651243159655e+02
5.210000000000000000e+02 5.534392018524581545e+02
5.220000000000000000e+02 1.201221219685422057e+03
5.230000000000000000e+02 1.321532039022291201e+03
5.240000000000000000e+02 5.222729046914018909e+02
5.250000000000000000e+02 2.070997581324385521e+02
5.260000000000000000e+02 1.125114119720406734e+03
5.270000000000000000e+02 6.484938234451839207e+02
5.280000000000000000e+02 4.516423593787368418e+02
5.290000000000000000e+02 2.654406164184226782e+02
5.300000000000000000e+02 9.727497518838399628e+02
5.310000000000000000e+02 6.507460734342241722e+02
5.320000000000000000e+02 6.721051431403872130e+02
5.330000000000000000e+02 2.637192624646235117e+02
5.340000000000000000e+02 2.902170343774014896e+02
5.350000000000000000e+02 6.578465725482675452e+02
5.360000000000000000e+02 1.749991174673001240e+02
5.370000000000000000e+02 4.950044123260228730e+02
5.380000000000000000e+02 5.501813108518877016e+02
5.390000000000000000e+02 5.042632052795014630e+01
5.400000000000000000e+02 1.084420328665082025e+03
5.410000000000000000e+02 5.234251380123031367e+02
5.420000000000000000e+02 2.134138440200158584e+02
5.430000000000000000e+02 1.212758206791227849e+03
5.440000000000000000e+02 6.490214202344914156e+02
5.450000000000000000e+02 2.435830973291979831e+02
5.460000000000000000e+02 2.006882474076870153e+02
5.470000000000000000e+02 4.963429344552106954e+02
5.480000000000000000e+02 7.021051821614440769e+02
5.490000000000000000e+02 3.782128591672326365e+02
5.500000000000000000e+02 1.153683050723048382e+03
5.510000000000000000e+02 2.372595689562959365e+02
5.520000000000000000e+02 3.622153623666998215e+02
5.530000000000000000e+02 1.099888672666178536e+03
5.540000000000000000e+02 7.941358862181351697e+02
5.550000000000000000e+02 2.926666393765653993e+02
5.560000000000000000e+02 1.385441445504857541e+02
5.570000000000000000e+02 2.567685141672317854e+02
5.580000000000000000e+02 6.773881095988323295e+02
5.590000000000000000e+02 6.543254168456730895e+02
5.600000000000000000e+02 8.610322173114302302e+01
5.610000000000000000e+02 5.410300967760915682e+02
5.620000000000000000e+02 2.229716895467215068e+02
5.630000000000000000e+02 7.591063231593227556e+02
5.640000000000000000e+02 8.029909797497595036e+02
5.650000000000000000e+02 2.671805914204995815e+02
5.660000000000000000e+02 8.799782604148931568e+02
5.670000000000000000e+02 3.757974690817970327e+02
5.680000000000000000e+02 2.619834025434114437e+02
5.690000000000000000e+02 1.813920088341088785e+02
5.700000000000000000e+02 4.007728593213805084e+02
5.710000000000000000e+02 4.926603121141442330e+02
5.720000000000000000e+02 4.171728925708211477e+02
5.730000000000000000e+02 7.008337533107963964e+02
5.740000000000000000e+02 1.061606975781341589e+03
5.750000000000000000e+02 2.579261040817116850e+02
5.760000000000000000e+02 5.381006052830075532e+02
5.770000000000000000e+02 2.035769143276846762e+02
5.780000000000000000e+02 1.127921117595424079e+02
5.790000000000000000e+02 1.008961414790305753e+03
5.800000000000000000e+02 1.183724656497260185e+03
5.810000000000000000e+02 6.596838992513756921e+02
5.820000000000000000e+02 9.084860491711426675e+02
5.830000000000000000e+02 6.883362625793819234e+02
