# realization, C(theta=180) 
0.000000000000000000e+00 3.148806002180111818e+02
1.000000000000000000e+00 4.762514582956524691e+02
2.000000000000000000e+00 -4.073000132634278998e+02
3.000000000000000000e+00 7.132100377044401966e+02
4.000000000000000000e+00 1.225251989929914487e+02
5.000000000000000000e+00 -1.627652164939632655e+02
6.000000000000000000e+00 4.260484043705208705e+02
7.000000000000000000e+00 -3.662937421787860330e+02
8.000000000000000000e+00 7.075063966813505090e+01
9.000000000000000000e+00 5.182811574653559319e+02
1.000000000000000000e+01 3.819194228401297551e+02
1.100000000000000000e+01 2.145990413215161539e+02
1.200000000000000000e+01 1.295495636716520949e+03
1.300000000000000000e+01 -9.441608020423456082e+01
1.400000000000000000e+01 6.138814737313348360e+02
1.500000000000000000e+01 -7.479390793770502910e+01
1.600000000000000000e+01 6.299383442895944540e+01
1.700000000000000000e+01 -4.053570036711352031e+02
1.800000000000000000e+01 1.273888475326540174e+03
1.900000000000000000e+01 2.670795724864407816e+02
2.000000000000000000e+01 8.369273967113403501e+01
2.100000000000000000e+01 -2.253294100280072598e+00
2.200000000000000000e+01 2.087511285920226101e+02
2.300000000000000000e+01 1.247144322703062699e+03
2.400000000000000000e+01 2.226738094593214612e+02
2.500000000000000000e+01 1.241620977829456649e+02
2.600000000000000000e+01 2.646293914408586829e+02
2.700000000000000000e+01 2.283032028433455025e+02
2.800000000000000000e+01 6.500787145093138406e+02
2.900000000000000000e+01 8.370923891286386720e+01
3.000000000000000000e+01 2.165525637562624865e+02
3.100000000000000000e+01 3.347482311960212655e+02
3.200000000000000000e+01 -7.749759175194708405e+01
3.300000000000000000e+01 1.424531858527984127e+02
3.400000000000000000e+01 3.979727462407431631e+02
3.500000000000000000e+01 8.510296872680087290e+02
3.600000000000000000e+01 -1.603610331222150194e+02
3.700000000000000000e+01 2.158503488191562667e+02
3.800000000000000000e+01 8.340183022325088587e+02
3.900000000000000000e+01 -2.264583979042848796e+02
4.000000000000000000e+01 9.071752719471993487e+02
4.100000000000000000e+01 6.447022535264457019e+02
4.200000000000000000e+01 5.397863626783876043e+02
4.300000000000000000e+01 6.967849305044846915e+02
4.400000000000000000e+01 2.568990557006683844e+02
4.500000000000000000e+01 2.940082006267974748e+02
4.600000000000000000e+01 2.165723977341110071e+02
4.700000000000000000e+01 6.605880384851495819e+02
4.800000000000000000e+01 1.496079138954237919e+02
4.900000000000000000e+01 6.041088771666086359e+02
5.000000000000000000e+01 -1.006664856215145250e+02
5.100000000000000000e+01 -2.257109561968893274e+01
5.200000000000000000e+01 5.536702759737983115e+02
5.300000000000000000e+01 1.076469941605025156e+02
5.400000000000000000e+01 2.977558792261464760e+02
5.500000000000000000e+01 1.346968011019391270e+03
5.600000000000000000e+01 8.090104171806851809e+02
5.700000000000000000e+01 4.936399711259383594e+00
5.800000000000000000e+01 1.314925223995763190e+03
5.900000000000000000e+01 -5.894797421758096334e+01
6.000000000000000000e+01 6.794492499080817538e+01
6.100000000000000000e+01 -9.212152390541513114e+01
6.200000000000000000e+01 3.863231327224607270e+00
