# realization, S_1/2
2.490000000000000000e+02 2.511963285444713620e+04
2.500000000000000000e+02 1.686310006824313023e+05
2.510000000000000000e+02 8.401094234399975903e+03
2.520000000000000000e+02 1.002539954658677016e+05
2.530000000000000000e+02 4.166743845818979898e+05
2.540000000000000000e+02 8.845550593160212156e+04
2.550000000000000000e+02 6.420241838758863014e+04
2.560000000000000000e+02 6.157262606603195309e+03
2.570000000000000000e+02 1.349080383938266823e+04
2.580000000000000000e+02 2.322880284821152600e+04
2.590000000000000000e+02 9.930437510891368220e+03
2.600000000000000000e+02 5.179336149266225402e+04
2.610000000000000000e+02 2.608475945620736093e+04
2.620000000000000000e+02 2.321767147989191290e+04
2.630000000000000000e+02 3.551853422420513380e+04
2.640000000000000000e+02 5.222664726320119371e+04
2.650000000000000000e+02 9.782200400179679491e+03
2.660000000000000000e+02 7.547564948680088855e+04
2.670000000000000000e+02 2.554404790002449226e+04
2.680000000000000000e+02 8.541303306945547229e+04
2.690000000000000000e+02 4.101827850164535630e+04
2.700000000000000000e+02 7.029444814712777734e+05
2.710000000000000000e+02 8.191699684457344119e+04
2.720000000000000000e+02 7.525771095779506140e+04
2.730000000000000000e+02 1.435617925383298134e+05
2.740000000000000000e+02 4.485030198499641847e+04
2.750000000000000000e+02 1.156388523458480449e+04
2.760000000000000000e+02 8.808296942946467607e+04
2.770000000000000000e+02 5.738696549022681575e+04
2.780000000000000000e+02 1.849837353683494075e+04
2.790000000000000000e+02 5.586859662968335761e+04
2.800000000000000000e+02 1.297867054632266372e+05
2.810000000000000000e+02 4.228212020151794604e+03
2.820000000000000000e+02 1.558767698854481932e+04
2.830000000000000000e+02 2.025145843498235627e+04
2.840000000000000000e+02 6.607229670545984118e+04
2.850000000000000000e+02 1.972199889452066054e+04
2.860000000000000000e+02 1.268447976103208384e+04
2.870000000000000000e+02 3.486300697185019817e+04
2.880000000000000000e+02 1.181592812788752781e+04
2.890000000000000000e+02 1.602082598181242429e+04
2.900000000000000000e+02 7.380206113332124914e+03
2.910000000000000000e+02 7.487537516298513219e+04
