# realization, C_[ell=2] 
7.490000000000000000e+02 1.331775311533597687e+03
7.500000000000000000e+02 6.309028230741487278e+02
7.510000000000000000e+02 1.682142146509242821e+03
7.520000000000000000e+02 1.839338674988206094e+03
7.530000000000000000e+02 1.271006262272471758e+03
7.540000000000000000e+02 1.272318283097565200e+03
7.550000000000000000e+02 6.881206647323177776e+02
7.560000000000000000e+02 4.303509967437767045e+02
7.570000000000000000e+02 1.256719039274219767e+03
7.580000000000000000e+02 1.119629205738624336e+02
7.590000000000000000e+02 5.244791557809592177e+02
7.600000000000000000e+02 1.686985917297433389e+03
7.610000000000000000e+02 1.283375635977811953e+03
7.620000000000000000e+02 2.053308237128236215e+03
7.630000000000000000e+02 2.136490767688705091e+03
7.640000000000000000e+02 7.072720672569560065e+02
7.650000000000000000e+02 7.500516702344202713e+02
7.660000000000000000e+02 9.520232221233287646e+02
7.670000000000000000e+02 1.150851066586670640e+03
7.680000000000000000e+02 3.790031784020376904e+02
7.690000000000000000e+02 6.072605118187096878e+02
7.700000000000000000e+02 1.789787934998942319e+03
7.710000000000000000e+02 7.265092557096720611e+02
7.720000000000000000e+02 1.217925367510648357e+03
7.730000000000000000e+02 8.410807997436864980e+02
7.740000000000000000e+02 7.935730274653990364e+02
7.750000000000000000e+02 2.144613751289164611e+03
7.760000000000000000e+02 2.593486983566074287e+03
7.770000000000000000e+02 4.166332229524044237e+02
7.780000000000000000e+02 2.511059520271778183e+03
7.790000000000000000e+02 4.054017235995928559e+02
7.800000000000000000e+02 7.357485577858890338e+02
7.810000000000000000e+02 3.995322199278801918e+02
7.820000000000000000e+02 8.167839268829803814e+02
7.830000000000000000e+02 1.075034708326358668e+03
7.840000000000000000e+02 1.093962486377680989e+03
7.850000000000000000e+02 1.303639235624862749e+03
7.860000000000000000e+02 3.222340260037143480e+02
7.870000000000000000e+02 6.961172015766346703e+02
7.880000000000000000e+02 1.302362725543810029e+03
7.890000000000000000e+02 4.958176274498253520e+02
7.900000000000000000e+02 2.084667890187065041e+03
7.910000000000000000e+02 7.414743391832547559e+02
7.920000000000000000e+02 8.288581429935076130e+02
7.930000000000000000e+02 5.764790444843805517e+02
7.940000000000000000e+02 5.399101731380520732e+02
7.950000000000000000e+02 1.907541719149872051e+03
7.960000000000000000e+02 8.582575008051077248e+02
7.970000000000000000e+02 7.803478780151282308e+02
7.980000000000000000e+02 4.248528673113668219e+02
7.990000000000000000e+02 5.641474154679481217e+02
8.000000000000000000e+02 1.001494868538924493e+03
8.010000000000000000e+02 1.439977716488846681e+03
8.020000000000000000e+02 4.381082792789636642e+02
8.030000000000000000e+02 8.612374428452768598e+02
8.040000000000000000e+02 9.906593180873470601e+02
8.050000000000000000e+02 1.203903374732488828e+03
8.060000000000000000e+02 2.007440220270599411e+02
8.070000000000000000e+02 9.656545184971068920e+02
8.080000000000000000e+02 6.542114899264029191e+02
8.090000000000000000e+02 5.373607221226773163e+02
8.100000000000000000e+02 1.295553756899005521e+03
8.110000000000000000e+02 1.476124522595006567e+02
8.120000000000000000e+02 9.112303807334794783e+02
8.130000000000000000e+02 1.086427542719421126e+03
8.140000000000000000e+02 1.928129105304999712e+03
8.150000000000000000e+02 2.534682407349397408e+02
8.160000000000000000e+02 1.873517587505619076e+03
8.170000000000000000e+02 1.118717231415711467e+03
8.180000000000000000e+02 6.394790261428348686e+02
8.190000000000000000e+02 1.875232856673045490e+03
8.200000000000000000e+02 2.488594937614688547e+02
8.210000000000000000e+02 1.033749118951064020e+03
8.220000000000000000e+02 1.843117153529382449e+03
8.230000000000000000e+02 1.061820181953173005e+03
8.240000000000000000e+02 1.555535312297900873e+03
8.250000000000000000e+02 2.531918824578571275e+03
8.260000000000000000e+02 6.550892519011052855e+02
8.270000000000000000e+02 2.216737196448596592e+02
8.280000000000000000e+02 8.544039536322109143e+02
8.290000000000000000e+02 1.243419205265159235e+03
8.300000000000000000e+02 5.324846946500168769e+02
8.310000000000000000e+02 2.913065382729342900e+02
8.320000000000000000e+02 1.675940992389580742e+03
8.330000000000000000e+02 2.077179418894192509e+02
8.340000000000000000e+02 1.932026131192502589e+03
8.350000000000000000e+02 1.509537201638481747e+03
8.360000000000000000e+02 1.277443242673884924e+03
8.370000000000000000e+02 1.055506462641782036e+03
8.380000000000000000e+02 2.376403093891949993e+03
8.390000000000000000e+02 9.182131804926301584e+02
8.400000000000000000e+02 8.930305788789413555e+02
8.410000000000000000e+02 2.084884809358626171e+03
8.420000000000000000e+02 4.821535059985192788e+02
8.430000000000000000e+02 9.768761173358356018e+02
8.440000000000000000e+02 9.254863144541106976e+02
8.450000000000000000e+02 1.390719548360564886e+03
8.460000000000000000e+02 1.728239877801046077e+03
8.470000000000000000e+02 2.978235855416342019e+03
8.480000000000000000e+02 2.791442817170882904e+02
8.490000000000000000e+02 2.457190113121269860e+03
8.500000000000000000e+02 9.780143850284134714e+02
8.510000000000000000e+02 4.238169946249110467e+02
8.520000000000000000e+02 6.531517006898883437e+02
8.530000000000000000e+02 8.955514717925528885e+02
8.540000000000000000e+02 1.025791685488461098e+03
8.550000000000000000e+02 6.880979847795802016e+02
8.560000000000000000e+02 1.077157621850283931e+03
8.570000000000000000e+02 3.452489728374797323e+03
8.580000000000000000e+02 8.779594179188603675e+02
8.590000000000000000e+02 1.648821096461764455e+03
8.600000000000000000e+02 1.248609148082430011e+03
8.610000000000000000e+02 1.771740789955140656e+02
8.620000000000000000e+02 8.129199772421616217e+02
8.630000000000000000e+02 5.916439198476612091e+02
8.640000000000000000e+02 8.815608205147352692e+02
8.650000000000000000e+02 1.256080870834391817e+03
8.660000000000000000e+02 3.636704874139256276e+02
8.670000000000000000e+02 1.174005154979077133e+03
8.680000000000000000e+02 2.197392839654293653e+02
8.690000000000000000e+02 2.086091912298659281e+03
