# realization, C(theta=180) 
3.740000000000000000e+02 6.173974413171888500e+02
3.750000000000000000e+02 3.616149282798036779e+02
3.760000000000000000e+02 2.736480652432297234e+02
3.770000000000000000e+02 2.173878776494474891e+02
3.780000000000000000e+02 -5.844703215961494180e+01
3.790000000000000000e+02 1.070544426583161908e+02
3.800000000000000000e+02 4.869774733198665899e+02
3.810000000000000000e+02 7.713850283316559171e+02
3.820000000000000000e+02 -9.670831171184931918e+01
3.830000000000000000e+02 2.821099450071581600e+02
3.840000000000000000e+02 1.938008578181269854e+02
3.850000000000000000e+02 -1.980266481275446608e+02
3.860000000000000000e+02 -1.005938244903792906e+02
3.870000000000000000e+02 8.271113911879416492e+01
3.880000000000000000e+02 4.141066901215947382e+02
3.890000000000000000e+02 -4.918702675528838313e+02
3.900000000000000000e+02 6.159124778894156407e+02
3.910000000000000000e+02 1.046169446438036204e+02
3.920000000000000000e+02 2.844692406333027179e+02
3.930000000000000000e+02 4.546206982154319576e+02
3.940000000000000000e+02 -5.382868441207546084e+01
3.950000000000000000e+02 1.174723412416690280e+03
3.960000000000000000e+02 3.196010013158747824e+02
3.970000000000000000e+02 -1.324002978668762012e+02
3.980000000000000000e+02 3.685590871753628903e+02
3.990000000000000000e+02 5.979957527490324765e+01
4.000000000000000000e+02 -7.501586989951132978e+01
4.010000000000000000e+02 4.512878696103166476e+01
4.020000000000000000e+02 -3.274039442522830257e+01
4.030000000000000000e+02 4.499086557701135121e+02
4.040000000000000000e+02 8.485072651640377899e+02
4.050000000000000000e+02 2.685848979553572917e+02
4.060000000000000000e+02 1.471685367019417754e+03
4.070000000000000000e+02 9.400254394906671678e+02
4.080000000000000000e+02 4.122344423257141557e+02
4.090000000000000000e+02 3.466168519621623432e+02
4.100000000000000000e+02 6.821163009010489304e+02
4.110000000000000000e+02 1.241955065559731963e+02
4.120000000000000000e+02 -1.210315369994212915e+02
4.130000000000000000e+02 2.170417377776390424e+02
4.140000000000000000e+02 1.281207584480996786e+01
4.150000000000000000e+02 -1.973845339252950737e+01
4.160000000000000000e+02 1.057642898561354485e+02
4.170000000000000000e+02 8.131962226335279809e+01
4.180000000000000000e+02 4.105786473805354717e+02
4.190000000000000000e+02 2.066937142673477297e+02
4.200000000000000000e+02 -2.846042779176918316e+02
4.210000000000000000e+02 3.445148028607477499e+02
4.220000000000000000e+02 9.001109525113196241e+01
4.230000000000000000e+02 -4.662373098837710472e+01
4.240000000000000000e+02 3.117494386407226443e+02
4.250000000000000000e+02 -1.359421554949454958e+02
4.260000000000000000e+02 2.517963357975037582e+02
4.270000000000000000e+02 6.496869679102619557e+02
4.280000000000000000e+02 2.454812900867811436e+02
4.290000000000000000e+02 6.269097117030106574e+02
4.300000000000000000e+02 1.201094062078538172e+03
4.310000000000000000e+02 3.469563811133008358e+01
4.320000000000000000e+02 4.489868461780664575e+02
4.330000000000000000e+02 -7.200386529836292482e+01
4.340000000000000000e+02 3.035640554913802589e+02
4.350000000000000000e+02 1.052561159074900843e+02
4.360000000000000000e+02 3.741080158443036225e+02
4.370000000000000000e+02 4.983472637469903077e+01
4.380000000000000000e+02 1.240972548709519856e+02
4.390000000000000000e+02 3.675983687710875643e+02
4.400000000000000000e+02 1.455353988983107740e+02
4.410000000000000000e+02 8.473670572625331943e+01
4.420000000000000000e+02 -3.656122452252715789e+02
4.430000000000000000e+02 -3.608292353643231820e+01
4.440000000000000000e+02 4.736072971612572360e+02
4.450000000000000000e+02 9.751282792136714761e+01
4.460000000000000000e+02 3.447251126660492559e+02
4.470000000000000000e+02 6.501820157913094818e+02
4.480000000000000000e+02 -2.853546202086227481e+02
4.490000000000000000e+02 8.251279297231275223e+01
4.500000000000000000e+02 5.182984368935293560e+02
4.510000000000000000e+02 2.003501125015738751e+02
4.520000000000000000e+02 3.201963717365542266e+02
4.530000000000000000e+02 5.813013811266026210e+01
4.540000000000000000e+02 3.511411298550895594e+02
4.550000000000000000e+02 -1.118931177106006203e+01
4.560000000000000000e+02 3.794267141816633284e+02
4.570000000000000000e+02 -3.521174587589123348e+02
4.580000000000000000e+02 -3.462612087640392389e+01
4.590000000000000000e+02 -4.347586265435106156e+01
4.600000000000000000e+02 1.475910511871300344e+02
4.610000000000000000e+02 4.544564097523499413e+02
4.620000000000000000e+02 2.548933370109913881e+02
4.630000000000000000e+02 1.966087581251618701e+02
4.640000000000000000e+02 1.336339263656014111e+02
4.650000000000000000e+02 1.104446383450768508e+03
4.660000000000000000e+02 2.136487418005697521e+02
4.670000000000000000e+02 -5.103408377407866681e+01
4.680000000000000000e+02 7.822512186701797532e+01
4.690000000000000000e+02 3.381001806963284366e+02
4.700000000000000000e+02 -8.635417938236352597e+01
4.710000000000000000e+02 -5.042095737324945048e+01
4.720000000000000000e+02 5.700494575864215818e+01
4.730000000000000000e+02 3.326670176713028013e+02
4.740000000000000000e+02 1.063232121633803672e+03
4.750000000000000000e+02 3.467915999151898063e+02
4.760000000000000000e+02 1.410373061335649822e+02
4.770000000000000000e+02 -1.722683149950919415e+02
4.780000000000000000e+02 5.356408743746432037e+02
4.790000000000000000e+02 4.708493121411988795e+02
4.800000000000000000e+02 -1.355324096945299175e+02
4.810000000000000000e+02 6.897739301800874046e+02
