# realization, S_1/2
3.740000000000000000e+02 3.691033640556600585e+04
3.750000000000000000e+02 3.511093847330509016e+04
3.760000000000000000e+02 7.504149622400179214e+04
3.770000000000000000e+02 2.324930292218425166e+04
3.780000000000000000e+02 4.901545539035627371e+03
3.790000000000000000e+02 3.869770189954870875e+04
3.800000000000000000e+02 4.331241060205148824e+04
3.810000000000000000e+02 1.005436279287753277e+05
3.820000000000000000e+02 1.282822033697879488e+04
3.830000000000000000e+02 9.510282081924266095e+03
3.840000000000000000e+02 4.728938946694906917e+04
3.850000000000000000e+02 4.315802859334236928e+03
3.860000000000000000e+02 4.326471986301091965e+04
3.870000000000000000e+02 5.827512250473025779e+04
3.880000000000000000e+02 6.465386713466356014e+03
3.890000000000000000e+02 5.699686703335063794e+04
3.900000000000000000e+02 5.184950735318674560e+04
3.910000000000000000e+02 2.112806623790176309e+04
3.920000000000000000e+02 1.048327341924768189e+04
3.930000000000000000e+02 3.985144262188184075e+04
3.940000000000000000e+02 1.853364989424255327e+04
3.950000000000000000e+02 4.818202683117981651e+05
3.960000000000000000e+02 6.007843854824906884e+04
3.970000000000000000e+02 3.545042983932610514e+04
3.980000000000000000e+02 1.131832579647878083e+04
3.990000000000000000e+02 2.969808204172593105e+04
4.000000000000000000e+02 5.524279846883472783e+04
4.010000000000000000e+02 8.222000734491700132e+04
4.020000000000000000e+02 4.500891547026241824e+03
4.030000000000000000e+02 1.849393422478745342e+05
4.040000000000000000e+02 6.166703903329266905e+04
4.050000000000000000e+02 3.297118041873814218e+04
4.060000000000000000e+02 5.416319749888875522e+05
4.070000000000000000e+02 1.713639494553333789e+05
4.080000000000000000e+02 6.258357193421906413e+04
4.090000000000000000e+02 1.113005993699566316e+05
4.100000000000000000e+02 1.657731641921016853e+05
4.110000000000000000e+02 2.339973605733383738e+04
4.120000000000000000e+02 5.826306705882530514e+04
4.130000000000000000e+02 5.368371348913320981e+04
4.140000000000000000e+02 2.818646970799299743e+04
4.150000000000000000e+02 6.507301724801804085e+03
4.160000000000000000e+02 5.293685327734712700e+03
4.170000000000000000e+02 1.726643174173071748e+04
4.180000000000000000e+02 3.203869159287102593e+04
4.190000000000000000e+02 2.764166941384380698e+04
4.200000000000000000e+02 1.039499354277591046e+05
4.210000000000000000e+02 1.461005051422858742e+04
4.220000000000000000e+02 7.694718900793319335e+04
4.230000000000000000e+02 2.012941965256747608e+03
4.240000000000000000e+02 7.699313408944038383e+04
4.250000000000000000e+02 2.173750412601239077e+04
4.260000000000000000e+02 2.804374632164351351e+04
4.270000000000000000e+02 3.961578876085828961e+04
4.280000000000000000e+02 1.069693513720771261e+04
4.290000000000000000e+02 3.674409389329232363e+04
4.300000000000000000e+02 3.142488835047483444e+05
4.310000000000000000e+02 2.650309828589326935e+04
4.320000000000000000e+02 3.979229360568126140e+04
4.330000000000000000e+02 3.443686493789078668e+04
4.340000000000000000e+02 1.213095131050044438e+05
4.350000000000000000e+02 1.132003387923734990e+05
4.360000000000000000e+02 4.007272132009080815e+04
4.370000000000000000e+02 4.422286703562661387e+03
4.380000000000000000e+02 9.360650881806661346e+03
4.390000000000000000e+02 1.544404162741658511e+05
4.400000000000000000e+02 3.997473822785786615e+04
4.410000000000000000e+02 9.870159129879675675e+03
4.420000000000000000e+02 4.841656267885019770e+04
4.430000000000000000e+02 1.792037099960325213e+04
4.440000000000000000e+02 5.784560047049437708e+04
4.450000000000000000e+02 7.719388586011413281e+03
4.460000000000000000e+02 2.034949760658293235e+04
4.470000000000000000e+02 9.670009724856603134e+04
4.480000000000000000e+02 3.005737913431140987e+04
4.490000000000000000e+02 3.745073641793238494e+04
4.500000000000000000e+02 1.637163819861763659e+04
4.510000000000000000e+02 3.102635603455898308e+04
4.520000000000000000e+02 2.282116892370591449e+04
4.530000000000000000e+02 1.070497979328108158e+04
4.540000000000000000e+02 6.907295282540150220e+04
4.550000000000000000e+02 1.411186984801055769e+04
4.560000000000000000e+02 4.430411912177668273e+04
4.570000000000000000e+02 4.066081102253327845e+04
4.580000000000000000e+02 1.605780375638992609e+03
4.590000000000000000e+02 8.906102304795671080e+04
4.600000000000000000e+02 1.634745303770774808e+04
4.610000000000000000e+02 5.046324805490543804e+04
4.620000000000000000e+02 7.551506058378939633e+04
4.630000000000000000e+02 1.125423349017112632e+05
4.640000000000000000e+02 6.601919443563693494e+04
4.650000000000000000e+02 2.615816729940595978e+05
4.660000000000000000e+02 4.349752124416058359e+04
4.670000000000000000e+02 2.155042903814421152e+04
4.680000000000000000e+02 7.201912409187269986e+03
